ENTREZ_ID.1	ENTREZ_ID.2	gene.pairs
30981	35526	30981-35526
47763	37973	37973-47763
42037	37973	37973-42037
31151	32703	31151-32703
35526	39744	35526-39744
40830	35341	35341-40830
42946	36329	36329-42946
33611	33834	33611-33834
35051	32537	32537-35051
36571	33916	33916-36571
42037	33916	33916-42037
47763	33916	33916-47763
34648	33934	33934-34648
45821	35259	35259-45821
33727	33432	33432-33727
47763	40940	40940-47763
36571	35540	35540-36571
47767	35540	35540-47767
32703	33619	32703-33619
35051	37757	35051-37757
30981	38091	30981-38091
47763	41697	41697-47763
42037	41697	41697-42037
33834	37201	33834-37201
45821	37201	37201-45821
34524	33351	33351-34524
47763	36039	36039-47763
42037	36039	36039-42037
37973	32567	32567-37973
47763	32567	32567-47763
42037	32567	32567-42037
40832	32567	32567-40832
40830	37345	37345-40830
34595	39203	34595-39203
35051	47781	35051-47781
37757	47781	37757-47781
40834	40045	40045-40834
35653	32855	32855-35653
32078	34166	32078-34166
32078	45307	32078-45307
34524	32545	32545-34524
47781	39536	39536-47781
35728	33824	33824-35728
37345	34171	34171-37345
34946	34171	34171-34946
35051	34171	34171-35051
37757	34171	34171-37757
36240	43162	36240-43162
36039	43162	36039-43162
36240	38004	36240-38004
43162	38995	38995-43162
35051	38995	35051-38995
39536	38995	38995-39536
37757	38995	37757-38995
43162	42445	42445-43162
39077	39075	39075-39077
39077	39071	39071-39077
42037	38389	38389-42037
32567	41273	32567-41273
34166	40246	34166-40246
40940	45881	40940-45881
36057	3772082	36057-3772082
40444	35084	35084-40444
34524	36810	34524-36810
37201	36810	36810-37201
42037	45318	42037-45318
42037	40287	40287-42037
47763	40287	40287-47763
47763	38012	38012-47763
42037	38012	38012-42037
31364	32083	31364-32083
43038	33835	33835-43038
34524	33835	33835-34524
32083	34927	32083-34927
39203	43819	39203-43819
32567	40817	32567-40817
31263	33782	31263-33782
35051	33782	33782-35051
40451	33214	33214-40451
30981	43156	30981-43156
43161	43158	43158-43161
43162	43160	43160-43162
43158	43160	43158-43160
30981	43160	30981-43160
43161	43160	43160-43161
47763	36555	36555-47763
42037	36555	36555-42037
40045	32114	32114-40045
35540	32114	32114-35540
43162	43152	43152-43162
43158	43150	43150-43158
43162	43150	43150-43162
43161	43151	43151-43161
43162	43151	43151-43162
35523	38779	35523-38779
41848	49228	41848-49228
31521	41942	31521-41942
35526	41942	35526-41942
39744	41942	39744-41942
31373	38809	31373-38809
47763	42799	42799-47763
42037	42799	42037-42799
43153	41085	41085-43153
43157	41085	41085-43157
36329	34012	34012-36329
37629	34012	34012-37629
42037	42547	42037-42547
47763	42547	42547-47763
32078	44843	32078-44843
40830	42297	40830-42297
33934	42297	33934-42297
41032	42297	41032-42297
37618	42297	37618-42297
34648	41066	34648-41066
33934	41066	33934-41066
43229	40358	40358-43229
39203	37069	37069-39203
34171	37662	34171-37662
39570	31251	31251-39570
32703	48311	32703-48311
31084	44848	31084-44848
42037	44849	42037-44849
47763	44849	44849-47763
47763	42757	42757-47763
42037	42757	42037-42757
41144	40232	40232-41144
42037	40990	40990-42037
47763	40990	40990-47763
40834	34629	34629-40834
48805	37415	37415-48805
37618	41094	37618-41094
32083	41094	32083-41094
40830	41094	40830-41094
34790	41094	34790-41094
41625	41094	41094-41625
35341	41094	35341-41094
44848	41094	41094-44848
36555	41094	36555-41094
33934	41094	33934-41094
43038	41094	41094-43038
41032	41094	41032-41094
42297	41094	41094-42297
31221	41140	31221-41140
41094	3354888	3354888-41094
33214	36855	33214-36855
43162	33059	33059-43162
42445	33059	33059-42445
39340	31535	31535-39340
33432	35731	33432-35731
37687	43327	37687-43327
36039	40833	36039-40833
41697	40833	40833-41697
42757	40833	40833-42757
42547	40833	40833-42547
44849	40833	40833-44849
33916	40833	33916-40833
42799	40833	40833-42799
40287	40833	40287-40833
40990	40833	40833-40990
36555	40833	36555-40833
32567	40833	32567-40833
45318	40833	40833-45318
37973	40833	37973-40833
32083	32780	32083-32780
31151	37386	31151-37386
41094	36171	36171-41094
30981	39884	30981-39884
35653	33196	33196-35653
34284	33196	33196-34284
32855	33196	32855-33196
36527	35662	35662-36527
31521	45931	31521-45931
47763	41944	41944-47763
42037	41944	41944-42037
40833	41944	40833-41944
41066	37065	37065-41066
45848	41740	41740-45848
49228	41740	41740-49228
41848	41740	41740-41848
41627	34119	34119-41627
38257	34119	34119-38257
42037	41491	41491-42037
47763	41491	41491-47763
38995	44160	38995-44160
47781	44160	44160-47781
39536	44160	39536-44160
34404	37042	34404-37042
33432	33753	33432-33753
41094	37455	37455-41094
40940	39849	39849-40940
40940	36619	36619-40940
39849	36619	36619-39849
37629	43542	37629-43542
36329	43542	36329-43542
32567	35430	32567-35430
47763	35430	35430-47763
42037	35430	35430-42037
40833	35430	35430-40833
39884	48317	39884-48317
36810	37417	36810-37417
34524	37417	34524-37417
33351	37417	33351-37417
33835	37417	33835-37417
32545	37417	32545-37417
48844	35851	35851-48844
33379	35851	33379-35851
35184	35147	35147-35184
40833	35147	35147-40833
42037	35147	35147-42037
47763	35147	35147-47763
40833	37655	37655-40833
42037	37655	37655-42037
47763	37655	37655-47763
33629	34420	33629-34420
33196	38456	33196-38456
31789	42034	31789-42034
41491	42034	41491-42034
41944	42034	41944-42034
43819	42034	42034-43819
38995	42034	38995-42034
35147	42034	35147-42034
42799	42034	42034-42799
40287	42034	40287-42034
47208	42034	42034-47208
32567	42034	32567-42034
33208	42034	33208-42034
36039	42034	36039-42034
42757	42034	42034-42757
41273	42034	41273-42034
32078	42034	32078-42034
35430	42034	35430-42034
37655	42034	37655-42034
35422	42034	35422-42034
42547	42034	42034-42547
42037	42034	42034-42037
45318	42034	42034-45318
44849	42034	42034-44849
31151	42034	31151-42034
41697	42034	41697-42034
37973	42034	37973-42034
32114	31165	31165-32114
35540	31165	31165-35540
41446	32569	32569-41446
37455	32569	32569-37455
32536	36421	32536-36421
41094	40009	40009-41094
3354888	40009	3354888-40009
40104	37206	37206-40104
41942	31230	31230-41942
49228	31230	31230-49228
39340	39673	39340-39673
41737	49260	41737-49260
34954	34411	34411-34954
39340	34411	34411-39340
39340	42453	39340-42453
40833	42536	40833-42536
