ENTREZ_ID.1	ENTREZ_ID.2	gene.pairs
38082	38478	38082-38478
49816	35402	35402-49816
33638	35402	33638-35402
32167	38501	32167-38501
38478	33565	33565-38478
35085	37894	35085-37894
35104	35054	35054-35104
33972	32979	32979-33972
41162	3346201	3346201-41162
40795	39241	39241-40795
33638	39241	33638-39241
49816	39241	39241-49816
45821	37464	37464-45821
32846	34229	32846-34229
326237	35215	326237-35215
49816	35560	35560-49816
40795	59167	40795-59167
43768	59167	43768-59167
38501	47781	38501-47781
41162	48805	41162-48805
38082	31397	31397-38082
49816	31359	31359-49816
33638	31359	31359-33638
32979	38897	32979-38897
32846	38897	32846-38897
35552	43566	35552-43566
49816	34126	34126-49816
33638	34126	33638-34126
35402	249663	249663-35402
49816	249663	249663-49816
33638	249663	249663-33638
39881	249663	249663-39881
35085	32806	32806-35085
37520	43080	37520-43080
41162	34000	34000-41162
48805	34000	34000-48805
40693	35340	35340-40693
36497	43091	36497-43091
39958	37237	37237-39958
39958	34569	34569-39958
35552	41524	35552-41524
34000	31264	31264-34000
34149	42435	34149-42435
32806	36084	32806-36084
40384	36084	36084-40384
41162	36084	36084-41162
48805	36084	36084-48805
44254	42524	42524-44254
34126	42524	34126-42524
44254	32225	32225-44254
42524	34901	34901-42524
41162	34901	34901-41162
31264	34901	31264-34901
48805	34901	34901-48805
42524	31585	31585-42524
41461	31143	31143-41461
41461	44548	41461-44548
33638	41284	33638-41284
249663	33270	249663-33270
37237	43572	37237-43572
35560	43017	35560-43017
37757	36810	36810-37757
2768981	34696	2768981-34696
35552	40176	35552-40176
38897	40176	38897-40176
33638	31444	31444-33638
33638	39315	33638-39315
49816	39315	39315-49816
49816	40045	40045-49816
33638	40045	33638-40045
31084	36539	31084-36539
3772329	42927	3772329-42927
35552	42927	35552-42927
36539	37528	36539-37528
43080	41703	41703-43080
249663	3355150	249663-3355150
37523	42143	37523-42143
41162	42143	41162-42143
43951	41217	41217-43951
38082	39034	38082-39034
35364	33401	33401-35364
42524	36409	36409-42524
33401	36409	33401-36409
38082	36409	36409-38082
35364	36409	35364-36409
49816	31778	31778-49816
33638	31778	31778-33638
35340	40764	35340-40764
59167	40764	40764-59167
42524	50366	42524-50366
33401	35042	33401-35042
42524	35042	35042-42524
35364	37462	35364-37462
42524	37462	37462-42524
40185	43142	40185-43142
38257	50296	38257-50296
39554	39679	39554-39679
38478	39679	38478-39679
33565	39679	33565-39679
42446	34411	34411-42446
49816	34902	34902-49816
33638	34902	33638-34902
40393	40620	40393-40620
34430	40620	34430-40620
35054	32799	32799-35054
42501	32799	32799-42501
33638	42922	33638-42922
49816	42922	42922-49816
39958	39744	39744-39958
35085	32794	32794-35085
37464	32794	32794-37464
41363	32794	32794-41363
35955	32794	32794-35955
45821	40961	40961-45821
37464	40961	37464-40961
43809	45969	43809-45969
43080	32981	32981-43080
36084	3771985	36084-3771985
33676	37690	33676-37690
38501	40438	38501-40438
40094	39062	39062-40094
33638	33161	33161-33638
49816	33161	33161-49816
49816	43832	43832-49816
33638	43832	33638-43832
38491	43161	38491-43161
33638	41666	33638-41666
49816	41666	41666-49816
40693	34361	34361-40693
35197	43351	35197-43351
35955	37617	35955-37617
36539	37617	36539-37617
35085	37617	35085-37617
249072	37617	249072-37617
42567	37617	37617-42567
37894	37617	37617-37894
39062	37617	37617-39062
31778	37617	31778-37617
37464	37617	37464-37617
3772329	37617	37617-3772329
41363	37617	37617-41363
32794	37617	32794-37617
44496	326128	326128-44496
37617	32387	32387-37617
41217	37859	37859-41217
42524	36015	36015-42524
31585	36015	31585-36015
36621	43085	36621-43085
35215	36592	35215-36592
5740788	50007	50007-5740788
34126	38809	34126-38809
31359	38809	31359-38809
43832	38809	38809-43832
42922	38809	38809-42922
33161	38809	33161-38809
39241	38809	38809-39241
34902	38809	34902-38809
39315	38809	38809-39315
41666	38809	38809-41666
31778	38809	31778-38809
249663	38809	249663-38809
31444	38809	31444-38809
35402	38809	35402-38809
36539	36040	36040-36539
32167	31905	31905-32167
37617	33413	33413-37617
38082	32060	32060-38082
36497	43656	36497-43656
39018	43656	39018-43656
43091	43656	43091-43656
40682	35731	35731-40682
39554	43330	39554-43330
49816	41381	41381-49816
33638	41381	33638-41381
38809	41381	38809-41381
40961	37916	37916-40961
44432	38987	38987-44432
50296	38987	38987-50296
38257	38987	38257-38987
33158	37629	33158-37629
43725	37629	37629-43725
33638	33412	33412-33638
49816	33412	33412-49816
34901	41831	34901-41831
34000	41831	34000-41831
31264	41831	31264-41831
31744	41783	31744-41783
35215	41085	35215-41085
37617	40650	37617-40650
35560	36311	35560-36311
35560	33208	33208-35560
36311	33208	33208-36311
42501	42881	42501-42881
35054	42881	35054-42881
249663	39588	249663-39588
49816	39588	39588-49816
33638	39588	33638-39588
38809	39588	38809-39588
32060	35701	32060-35701
